id,document,summary
476,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
477,Artificial intelligence is transforming the tech industry.,AI is changing tech.
478,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
479,Machine learning is a subset of artificial intelligence.,ML is part of AI.
480,John went to the store to buy some groceries.,John bought groceries.
481,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
482,Artificial intelligence is transforming the tech industry.,AI is changing tech.
483,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
484,Machine learning is a subset of artificial intelligence.,ML is part of AI.
485,John went to the store to buy some groceries.,John bought groceries.
486,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
487,Artificial intelligence is transforming the tech industry.,AI is changing tech.
488,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
489,Machine learning is a subset of artificial intelligence.,ML is part of AI.
490,John went to the store to buy some groceries.,John bought groceries.
491,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
492,Artificial intelligence is transforming the tech industry.,AI is changing tech.
493,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
494,Machine learning is a subset of artificial intelligence.,ML is part of AI.
495,John went to the store to buy some groceries.,John bought groceries.
496,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
497,Artificial intelligence is transforming the tech industry.,AI is changing tech.
498,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
499,Machine learning is a subset of artificial intelligence.,ML is part of AI.
500,John went to the store to buy some groceries.,John bought groceries.
501,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
502,Artificial intelligence is transforming the tech industry.,AI is changing tech.
503,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
504,Machine learning is a subset of artificial intelligence.,ML is part of AI.
505,John went to the store to buy some groceries.,John bought groceries.
506,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
507,Artificial intelligence is transforming the tech industry.,AI is changing tech.
508,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
509,Machine learning is a subset of artificial intelligence.,ML is part of AI.
510,John went to the store to buy some groceries.,John bought groceries.
511,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
512,Artificial intelligence is transforming the tech industry.,AI is changing tech.
513,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
514,Machine learning is a subset of artificial intelligence.,ML is part of AI.
515,John went to the store to buy some groceries.,John bought groceries.
516,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
517,Artificial intelligence is transforming the tech industry.,AI is changing tech.
518,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
519,Machine learning is a subset of artificial intelligence.,ML is part of AI.
520,John went to the store to buy some groceries.,John bought groceries.
521,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
522,Artificial intelligence is transforming the tech industry.,AI is changing tech.
523,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
524,Machine learning is a subset of artificial intelligence.,ML is part of AI.
525,John went to the store to buy some groceries.,John bought groceries.
526,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
527,Artificial intelligence is transforming the tech industry.,AI is changing tech.
528,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
529,Machine learning is a subset of artificial intelligence.,ML is part of AI.
530,John went to the store to buy some groceries.,John bought groceries.
531,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
532,Artificial intelligence is transforming the tech industry.,AI is changing tech.
533,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
534,Machine learning is a subset of artificial intelligence.,ML is part of AI.
535,John went to the store to buy some groceries.,John bought groceries.
536,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
537,Artificial intelligence is transforming the tech industry.,AI is changing tech.
538,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
539,Machine learning is a subset of artificial intelligence.,ML is part of AI.
540,John went to the store to buy some groceries.,John bought groceries.
541,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
542,Artificial intelligence is transforming the tech industry.,AI is changing tech.
543,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
544,Machine learning is a subset of artificial intelligence.,ML is part of AI.
545,John went to the store to buy some groceries.,John bought groceries.
546,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
547,Artificial intelligence is transforming the tech industry.,AI is changing tech.
548,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
549,Machine learning is a subset of artificial intelligence.,ML is part of AI.
550,John went to the store to buy some groceries.,John bought groceries.
551,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
552,Artificial intelligence is transforming the tech industry.,AI is changing tech.
553,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
554,Machine learning is a subset of artificial intelligence.,ML is part of AI.
555,John went to the store to buy some groceries.,John bought groceries.
556,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
557,Artificial intelligence is transforming the tech industry.,AI is changing tech.
558,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
559,Machine learning is a subset of artificial intelligence.,ML is part of AI.
560,John went to the store to buy some groceries.,John bought groceries.
561,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
562,Artificial intelligence is transforming the tech industry.,AI is changing tech.
563,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
564,Machine learning is a subset of artificial intelligence.,ML is part of AI.
565,John went to the store to buy some groceries.,John bought groceries.
566,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
567,Artificial intelligence is transforming the tech industry.,AI is changing tech.
568,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
569,Machine learning is a subset of artificial intelligence.,ML is part of AI.
570,John went to the store to buy some groceries.,John bought groceries.
571,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
572,Artificial intelligence is transforming the tech industry.,AI is changing tech.
573,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
574,Machine learning is a subset of artificial intelligence.,ML is part of AI.
575,John went to the store to buy some groceries.,John bought groceries.
576,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
577,Artificial intelligence is transforming the tech industry.,AI is changing tech.
578,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
579,Machine learning is a subset of artificial intelligence.,ML is part of AI.
580,John went to the store to buy some groceries.,John bought groceries.
581,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
582,Artificial intelligence is transforming the tech industry.,AI is changing tech.
583,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
584,Machine learning is a subset of artificial intelligence.,ML is part of AI.
585,John went to the store to buy some groceries.,John bought groceries.
586,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
587,Artificial intelligence is transforming the tech industry.,AI is changing tech.
588,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
589,Machine learning is a subset of artificial intelligence.,ML is part of AI.
590,John went to the store to buy some groceries.,John bought groceries.
591,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
592,Artificial intelligence is transforming the tech industry.,AI is changing tech.
593,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
594,Machine learning is a subset of artificial intelligence.,ML is part of AI.
595,John went to the store to buy some groceries.,John bought groceries.
596,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
597,Artificial intelligence is transforming the tech industry.,AI is changing tech.
598,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
599,Machine learning is a subset of artificial intelligence.,ML is part of AI.
600,John went to the store to buy some groceries.,John bought groceries.
601,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
602,Artificial intelligence is transforming the tech industry.,AI is changing tech.
603,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
604,Machine learning is a subset of artificial intelligence.,ML is part of AI.
605,John went to the store to buy some groceries.,John bought groceries.
606,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
607,Artificial intelligence is transforming the tech industry.,AI is changing tech.
608,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
609,Machine learning is a subset of artificial intelligence.,ML is part of AI.
610,John went to the store to buy some groceries.,John bought groceries.
611,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
612,Artificial intelligence is transforming the tech industry.,AI is changing tech.
613,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
614,Machine learning is a subset of artificial intelligence.,ML is part of AI.
615,John went to the store to buy some groceries.,John bought groceries.
616,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
617,Artificial intelligence is transforming the tech industry.,AI is changing tech.
618,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
619,Machine learning is a subset of artificial intelligence.,ML is part of AI.
620,John went to the store to buy some groceries.,John bought groceries.
621,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
622,Artificial intelligence is transforming the tech industry.,AI is changing tech.
623,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
624,Machine learning is a subset of artificial intelligence.,ML is part of AI.
625,John went to the store to buy some groceries.,John bought groceries.
626,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
627,Artificial intelligence is transforming the tech industry.,AI is changing tech.
628,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
629,Machine learning is a subset of artificial intelligence.,ML is part of AI.
630,John went to the store to buy some groceries.,John bought groceries.
631,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
632,Artificial intelligence is transforming the tech industry.,AI is changing tech.
633,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
634,Machine learning is a subset of artificial intelligence.,ML is part of AI.
635,John went to the store to buy some groceries.,John bought groceries.
636,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
637,Artificial intelligence is transforming the tech industry.,AI is changing tech.
638,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
639,Machine learning is a subset of artificial intelligence.,ML is part of AI.
640,John went to the store to buy some groceries.,John bought groceries.
641,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
642,Artificial intelligence is transforming the tech industry.,AI is changing tech.
643,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
644,Machine learning is a subset of artificial intelligence.,ML is part of AI.
645,John went to the store to buy some groceries.,John bought groceries.
646,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
647,Artificial intelligence is transforming the tech industry.,AI is changing tech.
648,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
649,Machine learning is a subset of artificial intelligence.,ML is part of AI.
650,John went to the store to buy some groceries.,John bought groceries.
651,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
652,Artificial intelligence is transforming the tech industry.,AI is changing tech.
653,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
654,Machine learning is a subset of artificial intelligence.,ML is part of AI.
655,John went to the store to buy some groceries.,John bought groceries.
656,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
657,Artificial intelligence is transforming the tech industry.,AI is changing tech.
658,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
659,Machine learning is a subset of artificial intelligence.,ML is part of AI.
660,John went to the store to buy some groceries.,John bought groceries.
661,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
662,Artificial intelligence is transforming the tech industry.,AI is changing tech.
663,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
664,Machine learning is a subset of artificial intelligence.,ML is part of AI.
665,John went to the store to buy some groceries.,John bought groceries.
666,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
667,Artificial intelligence is transforming the tech industry.,AI is changing tech.
668,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
669,Machine learning is a subset of artificial intelligence.,ML is part of AI.
670,John went to the store to buy some groceries.,John bought groceries.
671,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
672,Artificial intelligence is transforming the tech industry.,AI is changing tech.
673,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
674,Machine learning is a subset of artificial intelligence.,ML is part of AI.
675,John went to the store to buy some groceries.,John bought groceries.
676,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
677,Artificial intelligence is transforming the tech industry.,AI is changing tech.
678,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
679,Machine learning is a subset of artificial intelligence.,ML is part of AI.
680,John went to the store to buy some groceries.,John bought groceries.
681,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
682,Artificial intelligence is transforming the tech industry.,AI is changing tech.
683,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
684,Machine learning is a subset of artificial intelligence.,ML is part of AI.
685,John went to the store to buy some groceries.,John bought groceries.
686,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
687,Artificial intelligence is transforming the tech industry.,AI is changing tech.
688,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
689,Machine learning is a subset of artificial intelligence.,ML is part of AI.
690,John went to the store to buy some groceries.,John bought groceries.
691,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
692,Artificial intelligence is transforming the tech industry.,AI is changing tech.
693,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
694,Machine learning is a subset of artificial intelligence.,ML is part of AI.
695,John went to the store to buy some groceries.,John bought groceries.
696,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
697,Artificial intelligence is transforming the tech industry.,AI is changing tech.
698,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
699,Machine learning is a subset of artificial intelligence.,ML is part of AI.
700,John went to the store to buy some groceries.,John bought groceries.
701,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
702,Artificial intelligence is transforming the tech industry.,AI is changing tech.
703,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
704,Machine learning is a subset of artificial intelligence.,ML is part of AI.
705,John went to the store to buy some groceries.,John bought groceries.
706,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
707,Artificial intelligence is transforming the tech industry.,AI is changing tech.
708,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
709,Machine learning is a subset of artificial intelligence.,ML is part of AI.
710,John went to the store to buy some groceries.,John bought groceries.
711,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
712,Artificial intelligence is transforming the tech industry.,AI is changing tech.
713,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
714,Machine learning is a subset of artificial intelligence.,ML is part of AI.
715,John went to the store to buy some groceries.,John bought groceries.
716,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
717,Artificial intelligence is transforming the tech industry.,AI is changing tech.
718,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
719,Machine learning is a subset of artificial intelligence.,ML is part of AI.
720,John went to the store to buy some groceries.,John bought groceries.
721,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
722,Artificial intelligence is transforming the tech industry.,AI is changing tech.
723,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
724,Machine learning is a subset of artificial intelligence.,ML is part of AI.
725,John went to the store to buy some groceries.,John bought groceries.
726,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
727,Artificial intelligence is transforming the tech industry.,AI is changing tech.
728,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
729,Machine learning is a subset of artificial intelligence.,ML is part of AI.
730,John went to the store to buy some groceries.,John bought groceries.
731,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
732,Artificial intelligence is transforming the tech industry.,AI is changing tech.
733,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
734,Machine learning is a subset of artificial intelligence.,ML is part of AI.
735,John went to the store to buy some groceries.,John bought groceries.
736,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
737,Artificial intelligence is transforming the tech industry.,AI is changing tech.
738,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
739,Machine learning is a subset of artificial intelligence.,ML is part of AI.
740,John went to the store to buy some groceries.,John bought groceries.
741,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
742,Artificial intelligence is transforming the tech industry.,AI is changing tech.
743,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
744,Machine learning is a subset of artificial intelligence.,ML is part of AI.
745,John went to the store to buy some groceries.,John bought groceries.
746,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
747,Artificial intelligence is transforming the tech industry.,AI is changing tech.
748,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
749,Machine learning is a subset of artificial intelligence.,ML is part of AI.
750,John went to the store to buy some groceries.,John bought groceries.
751,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
752,Artificial intelligence is transforming the tech industry.,AI is changing tech.
753,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
754,Machine learning is a subset of artificial intelligence.,ML is part of AI.
755,John went to the store to buy some groceries.,John bought groceries.
756,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
757,Artificial intelligence is transforming the tech industry.,AI is changing tech.
758,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
759,Machine learning is a subset of artificial intelligence.,ML is part of AI.
760,John went to the store to buy some groceries.,John bought groceries.
761,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
762,Artificial intelligence is transforming the tech industry.,AI is changing tech.
763,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
764,Machine learning is a subset of artificial intelligence.,ML is part of AI.
765,John went to the store to buy some groceries.,John bought groceries.
766,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
767,Artificial intelligence is transforming the tech industry.,AI is changing tech.
768,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
769,Machine learning is a subset of artificial intelligence.,ML is part of AI.
770,John went to the store to buy some groceries.,John bought groceries.
771,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
772,Artificial intelligence is transforming the tech industry.,AI is changing tech.
773,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
774,Machine learning is a subset of artificial intelligence.,ML is part of AI.
775,John went to the store to buy some groceries.,John bought groceries.
776,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
777,Artificial intelligence is transforming the tech industry.,AI is changing tech.
778,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
779,Machine learning is a subset of artificial intelligence.,ML is part of AI.
780,John went to the store to buy some groceries.,John bought groceries.
781,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
782,Artificial intelligence is transforming the tech industry.,AI is changing tech.
783,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
784,Machine learning is a subset of artificial intelligence.,ML is part of AI.
785,John went to the store to buy some groceries.,John bought groceries.
786,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
787,Artificial intelligence is transforming the tech industry.,AI is changing tech.
788,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
789,Machine learning is a subset of artificial intelligence.,ML is part of AI.
790,John went to the store to buy some groceries.,John bought groceries.
791,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
792,Artificial intelligence is transforming the tech industry.,AI is changing tech.
793,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
794,Machine learning is a subset of artificial intelligence.,ML is part of AI.
795,John went to the store to buy some groceries.,John bought groceries.
796,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
797,Artificial intelligence is transforming the tech industry.,AI is changing tech.
798,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
799,Machine learning is a subset of artificial intelligence.,ML is part of AI.
800,John went to the store to buy some groceries.,John bought groceries.
801,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
802,Artificial intelligence is transforming the tech industry.,AI is changing tech.
803,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
804,Machine learning is a subset of artificial intelligence.,ML is part of AI.
805,John went to the store to buy some groceries.,John bought groceries.
806,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
807,Artificial intelligence is transforming the tech industry.,AI is changing tech.
808,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
809,Machine learning is a subset of artificial intelligence.,ML is part of AI.
810,John went to the store to buy some groceries.,John bought groceries.
811,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
812,Artificial intelligence is transforming the tech industry.,AI is changing tech.
813,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
814,Machine learning is a subset of artificial intelligence.,ML is part of AI.
815,John went to the store to buy some groceries.,John bought groceries.
816,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
817,Artificial intelligence is transforming the tech industry.,AI is changing tech.
818,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
819,Machine learning is a subset of artificial intelligence.,ML is part of AI.
820,John went to the store to buy some groceries.,John bought groceries.
821,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
822,Artificial intelligence is transforming the tech industry.,AI is changing tech.
823,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
824,Machine learning is a subset of artificial intelligence.,ML is part of AI.
825,John went to the store to buy some groceries.,John bought groceries.
826,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
827,Artificial intelligence is transforming the tech industry.,AI is changing tech.
828,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
829,Machine learning is a subset of artificial intelligence.,ML is part of AI.
830,John went to the store to buy some groceries.,John bought groceries.
831,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
832,Artificial intelligence is transforming the tech industry.,AI is changing tech.
833,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
834,Machine learning is a subset of artificial intelligence.,ML is part of AI.
835,John went to the store to buy some groceries.,John bought groceries.
836,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
837,Artificial intelligence is transforming the tech industry.,AI is changing tech.
838,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
839,Machine learning is a subset of artificial intelligence.,ML is part of AI.
840,John went to the store to buy some groceries.,John bought groceries.
841,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
842,Artificial intelligence is transforming the tech industry.,AI is changing tech.
843,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
844,Machine learning is a subset of artificial intelligence.,ML is part of AI.
845,John went to the store to buy some groceries.,John bought groceries.
846,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
847,Artificial intelligence is transforming the tech industry.,AI is changing tech.
848,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
849,Machine learning is a subset of artificial intelligence.,ML is part of AI.
850,John went to the store to buy some groceries.,John bought groceries.
851,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
852,Artificial intelligence is transforming the tech industry.,AI is changing tech.
853,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
854,Machine learning is a subset of artificial intelligence.,ML is part of AI.
855,John went to the store to buy some groceries.,John bought groceries.
856,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
857,Artificial intelligence is transforming the tech industry.,AI is changing tech.
858,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
859,Machine learning is a subset of artificial intelligence.,ML is part of AI.
860,John went to the store to buy some groceries.,John bought groceries.
861,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
862,Artificial intelligence is transforming the tech industry.,AI is changing tech.
863,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
864,Machine learning is a subset of artificial intelligence.,ML is part of AI.
865,John went to the store to buy some groceries.,John bought groceries.
866,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
867,Artificial intelligence is transforming the tech industry.,AI is changing tech.
868,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
869,Machine learning is a subset of artificial intelligence.,ML is part of AI.
870,John went to the store to buy some groceries.,John bought groceries.
871,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
872,Artificial intelligence is transforming the tech industry.,AI is changing tech.
873,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
874,Machine learning is a subset of artificial intelligence.,ML is part of AI.
875,John went to the store to buy some groceries.,John bought groceries.
876,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
877,Artificial intelligence is transforming the tech industry.,AI is changing tech.
878,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
879,Machine learning is a subset of artificial intelligence.,ML is part of AI.
880,John went to the store to buy some groceries.,John bought groceries.
881,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
882,Artificial intelligence is transforming the tech industry.,AI is changing tech.
883,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
884,Machine learning is a subset of artificial intelligence.,ML is part of AI.
885,John went to the store to buy some groceries.,John bought groceries.
886,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
887,Artificial intelligence is transforming the tech industry.,AI is changing tech.
888,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
889,Machine learning is a subset of artificial intelligence.,ML is part of AI.
890,John went to the store to buy some groceries.,John bought groceries.
891,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
892,Artificial intelligence is transforming the tech industry.,AI is changing tech.
893,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
894,Machine learning is a subset of artificial intelligence.,ML is part of AI.
895,John went to the store to buy some groceries.,John bought groceries.
896,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
897,Artificial intelligence is transforming the tech industry.,AI is changing tech.
898,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
899,Machine learning is a subset of artificial intelligence.,ML is part of AI.
900,John went to the store to buy some groceries.,John bought groceries.
901,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
902,Artificial intelligence is transforming the tech industry.,AI is changing tech.
903,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
904,Machine learning is a subset of artificial intelligence.,ML is part of AI.
905,John went to the store to buy some groceries.,John bought groceries.
906,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
907,Artificial intelligence is transforming the tech industry.,AI is changing tech.
908,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
909,Machine learning is a subset of artificial intelligence.,ML is part of AI.
910,John went to the store to buy some groceries.,John bought groceries.
911,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
912,Artificial intelligence is transforming the tech industry.,AI is changing tech.
913,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
914,Machine learning is a subset of artificial intelligence.,ML is part of AI.
915,John went to the store to buy some groceries.,John bought groceries.
916,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
917,Artificial intelligence is transforming the tech industry.,AI is changing tech.
918,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
919,Machine learning is a subset of artificial intelligence.,ML is part of AI.
920,John went to the store to buy some groceries.,John bought groceries.
921,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
922,Artificial intelligence is transforming the tech industry.,AI is changing tech.
923,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
924,Machine learning is a subset of artificial intelligence.,ML is part of AI.
925,John went to the store to buy some groceries.,John bought groceries.
926,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
927,Artificial intelligence is transforming the tech industry.,AI is changing tech.
928,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
929,Machine learning is a subset of artificial intelligence.,ML is part of AI.
930,John went to the store to buy some groceries.,John bought groceries.
931,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
932,Artificial intelligence is transforming the tech industry.,AI is changing tech.
933,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
934,Machine learning is a subset of artificial intelligence.,ML is part of AI.
935,John went to the store to buy some groceries.,John bought groceries.
936,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
937,Artificial intelligence is transforming the tech industry.,AI is changing tech.
938,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
939,Machine learning is a subset of artificial intelligence.,ML is part of AI.
940,John went to the store to buy some groceries.,John bought groceries.
941,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
942,Artificial intelligence is transforming the tech industry.,AI is changing tech.
943,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
944,Machine learning is a subset of artificial intelligence.,ML is part of AI.
945,John went to the store to buy some groceries.,John bought groceries.
946,The quick brown fox jumps over the lazy dog.,Fox jumps over dog.
947,Artificial intelligence is transforming the tech industry.,AI is changing tech.
948,The sun rises in the east and sets in the west.,"Sun rises east, sets west."
949,Machine learning is a subset of artificial intelligence.,ML is part of AI.
950,John went to the store to buy some groceries.,John bought groceries.
